,area_type,location,BHK,total_sqft,bath,balcony,price_in_lakhs
1363,Built-up  Area,Bommasandra Industrial Area,2,1125.0,2.0,1.0,32.49
1366,Built-up  Area,Bommasandra Industrial Area,2,1125.0,2.0,1.0,32.49
1367,Built-up  Area,Bommasandra Industrial Area,2,1130.0,2.0,1.0,32.64
1368,Built-up  Area,Bommasandra Industrial Area,2,1065.0,2.0,1.0,30.75
1369,Plot  Area,Bommenahalli,3,1200.0,3.0,1.0,125.0
1370,Built-up  Area,Bommenahalli,4,1632.0,3.0,0.0,145.0
1371,Plot  Area,Bommenahalli,4,1670.0,3.0,0.0,135.0
1372,Built-up  Area,Bommenahalli,4,1680.0,3.0,0.0,135.0
1373,Plot  Area,Bommenahalli,4,1632.0,3.0,1.0,128.0
1374,Built-up  Area,Bommenahalli,3,3339.0,3.0,0.0,250.0
1375,Plot  Area,Bommenahalli,4,1355.0,3.0,0.0,135.0
1376,Plot  Area,Bommenahalli,3,1232.0,3.0,1.0,96.0
1377,Built-up  Area,Bommenahalli,4,1632.0,3.0,0.0,140.0
1378,Super built-up  Area,Brookefield,2,1150.0,2.0,3.0,69.0
1379,Built-up  Area,Brookefield,2,1142.0,2.0,2.0,70.0
1383,Plot  Area,Brookefield,4,2800.0,4.0,2.0,240.0
1384,Super built-up  Area,Brookefield,3,1476.0,3.0,2.0,105.0
1385,Plot  Area,Brookefield,4,1700.0,4.0,1.0,152.0
1386,Super built-up  Area,Brookefield,2,1262.0,2.0,1.0,75.0
1387,Super built-up  Area,Brookefield,2,1139.0,2.0,2.0,80.0
1388,Super built-up  Area,Brookefield,2,1125.0,2.0,2.0,70.0
1389,Super built-up  Area,Brookefield,3,1420.0,3.0,2.0,85.0
1391,Super built-up  Area,Brookefield,2,941.0,2.0,2.0,48.0
1394,Built-up  Area,Brookefield,2,1100.0,2.0,1.0,55.0
1395,Super built-up  Area,Brookefield,4,2400.0,3.0,3.0,140.0
1396,Built-up  Area,Brookefield,2,1225.0,2.0,2.0,66.5
1397,Plot  Area,Brookefield,5,1950.0,6.0,3.0,175.0
1398,Super built-up  Area,Brookefield,2,1080.0,2.0,3.0,50.0
1399,Built-up  Area,Brookefield,2,1230.0,2.0,3.0,55.0
1400,Super built-up  Area,Brookefield,2,1200.0,2.0,2.0,75.0
1401,Super built-up  Area,Brookefield,2,1089.0,2.0,1.0,49.0
1402,Super built-up  Area,Brookefield,2,1130.0,2.0,2.0,56.0
1403,Super built-up  Area,Brookefield,2,1270.0,2.0,1.0,95.0
1404,Super built-up  Area,Brookefield,3,1706.0,3.0,2.0,115.0
1405,Super built-up  Area,Brookefield,2,1389.0,2.0,2.0,94.0
1407,Built-up  Area,Brookefield,2,1225.0,2.0,2.0,72.0
1409,Super built-up  Area,Brookefield,3,1746.0,3.0,3.0,115.0
1411,Plot  Area,Brookefield,4,1560.0,3.0,2.0,149.0
1413,Super built-up  Area,Brookefield,2,1382.0,2.0,2.0,84.5
1414,Super built-up  Area,Brookefield,2,1260.0,2.0,1.0,70.0
1415,Super built-up  Area,Brookefield,2,1206.0,2.0,2.0,90.0
1417,Super built-up  Area,Brookefield,3,1594.0,3.0,2.0,140.0
1418,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,56.4
1419,Super built-up  Area,Budigere,2,1162.0,2.0,1.0,59.9
1420,Super built-up  Area,Budigere,3,1991.0,4.0,2.0,103.0
1421,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,57.0
1422,Super built-up  Area,Budigere,2,1162.0,2.0,1.0,57.0
1423,Super built-up  Area,Budigere,2,1139.0,2.0,2.0,62.0
1424,Super built-up  Area,Budigere,2,1139.0,2.0,2.0,56.8
1425,Super built-up  Area,Budigere,2,1139.0,2.0,2.0,56.85
1428,Super built-up  Area,Budigere,1,664.0,1.0,1.0,35.0
1429,Super built-up  Area,Budigere,3,1820.0,3.0,2.0,93.0
1430,Super built-up  Area,Budigere,3,1636.0,3.0,2.0,85.0
1431,Super built-up  Area,Budigere,2,1444.0,2.0,2.0,70.0
1433,Super built-up  Area,Budigere,2,1139.0,2.0,2.0,60.0
1435,Super built-up  Area,Budigere,3,1820.0,3.0,2.0,93.0
1437,Super built-up  Area,Budigere,2,1162.0,2.0,1.0,58.0
1438,Super built-up  Area,Budigere,3,1636.0,3.0,2.0,85.0
1439,Super built-up  Area,Budigere,3,1636.0,3.0,2.0,92.0
1440,Super built-up  Area,Budigere,2,1087.0,2.0,1.0,54.3
1442,Super built-up  Area,Budigere,2,1149.0,2.0,2.0,65.0
1443,Super built-up  Area,Budigere,1,664.0,1.0,1.0,35.4
1444,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,56.7
1446,Super built-up  Area,Budigere,2,1139.0,2.0,2.0,56.5
1447,Super built-up  Area,Budigere,3,1636.0,3.0,2.0,83.0
1448,Built-up  Area,Budigere,1,664.0,1.0,1.0,34.0
1450,Super built-up  Area,Budigere,2,1162.0,2.0,1.0,58.0
1451,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,60.0
1452,Super built-up  Area,Budigere,3,1820.0,3.0,2.0,99.0
1453,Super built-up  Area,Budigere,2,1172.0,2.0,0.0,56.725
1456,Super built-up  Area,Budigere,3,1820.0,3.0,2.0,95.0
1458,Built-up  Area,Budigere,3,1820.0,3.0,2.0,95.5
1459,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,56.0
1460,Super built-up  Area,Budigere,1,705.0,1.0,0.0,34.545
1461,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,56.5
1462,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,58.0
1463,Super built-up  Area,Budigere,3,1636.0,3.0,2.0,88.0
1464,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,56.55
1465,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,56.5
1466,Super built-up  Area,Budigere,2,1153.0,2.0,2.0,60.0
1468,Super built-up  Area,CV Raman Nagar,2,1120.0,2.0,2.0,55.0
1469,Built-up  Area,CV Raman Nagar,2,1070.0,2.0,1.0,55.0
1470,Super built-up  Area,CV Raman Nagar,2,740.0,2.0,1.0,37.0
1471,Built-up  Area,CV Raman Nagar,2,1028.0,2.0,1.0,49.0
1472,Super built-up  Area,CV Raman Nagar,2,1392.0,2.0,1.0,98.0
1473,Super built-up  Area,CV Raman Nagar,2,1070.0,2.0,2.0,47.5
1474,Super built-up  Area,CV Raman Nagar,3,1825.0,3.0,2.0,126.0
1475,Super built-up  Area,CV Raman Nagar,2,1025.0,2.0,2.0,50.0
1477,Super built-up  Area,CV Raman Nagar,2,1198.0,2.0,2.0,60.0
1478,Super built-up  Area,CV Raman Nagar,2,1560.0,2.0,2.0,85.0
1479,Super built-up  Area,CV Raman Nagar,3,1590.0,2.0,3.0,85.0
1480,Super built-up  Area,CV Raman Nagar,2,1100.0,2.0,1.0,58.0
1481,Super built-up  Area,CV Raman Nagar,2,1051.0,2.0,3.0,61.0
1483,Super built-up  Area,CV Raman Nagar,2,1020.0,2.0,1.0,55.0
1484,Super built-up  Area,CV Raman Nagar,2,1285.0,2.0,2.0,65.0
1485,Super built-up  Area,CV Raman Nagar,2,1040.0,2.0,1.0,50.0
1486,Super built-up  Area,CV Raman Nagar,2,1392.0,2.0,1.0,95.0
1487,Super built-up  Area,CV Raman Nagar,1,705.0,2.0,1.0,50.0
1488,Built-up  Area,CV Raman Nagar,2,1125.0,2.0,1.0,46.0
1489,Super built-up  Area,CV Raman Nagar,3,1400.0,2.0,2.0,78.0
1490,Super built-up  Area,CV Raman Nagar,3,1400.0,2.0,2.0,78.0
1491,Super built-up  Area,CV Raman Nagar,2,907.0,2.0,2.0,38.0
1493,Built-up  Area,CV Raman Nagar,2,1310.0,2.0,1.0,62.0
1494,Super built-up  Area,Chamrajpet,3,1475.0,2.0,2.0,120.0
1495,Super built-up  Area,Chamrajpet,4,1900.0,2.0,1.0,170.0
1496,Super built-up  Area,Chamrajpet,2,1350.0,2.0,3.0,180.0
1497,Built-up  Area,Chamrajpet,2,1050.0,2.0,1.0,162.0
1498,Plot  Area,Chamrajpet,4,1660.4,4.0,2.0,211.0
1499,Built-up  Area,Chamrajpet,1,505.0,1.0,0.0,85.0
1500,Built-up  Area,Chamrajpet,3,1565.0,3.0,2.0,98.91
1501,Super built-up  Area,Chamrajpet,2,730.0,1.0,2.0,52.0
1502,Super built-up  Area,Chamrajpet,2,650.0,1.0,1.0,40.0
1503,Super built-up  Area,Chamrajpet,2,650.0,2.0,2.0,45.0
1504,Super built-up  Area,Chamrajpet,3,1650.0,3.0,2.0,115.0
1505,Built-up  Area,Chandapura,2,650.0,1.0,1.0,17.0
1506,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1507,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1509,Super built-up  Area,Chandapura,2,1015.0,2.0,2.0,25.88
1510,Super built-up  Area,Chandapura,1,530.0,1.0,0.0,11.66
1511,Super built-up  Area,Chandapura,3,1208.0,3.0,1.0,45.0
1513,Super built-up  Area,Chandapura,2,1200.0,2.0,2.0,32.0
1514,Super built-up  Area,Chandapura,2,1025.0,2.0,2.0,27.68
1515,Super built-up  Area,Chandapura,1,582.5,1.0,0.0,15.135
1516,Super built-up  Area,Chandapura,2,1015.0,2.0,2.0,25.88
1518,Super built-up  Area,Chandapura,3,1065.0,2.0,1.0,33.0
1521,Super built-up  Area,Chandapura,2,850.0,2.0,1.0,25.4
1522,Super built-up  Area,Chandapura,1,590.0,1.0,0.0,13.57
1523,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1524,Super built-up  Area,Chandapura,1,630.0,1.0,0.0,13.86
1526,Super built-up  Area,Chandapura,2,1015.0,2.0,2.0,25.88
1527,Super built-up  Area,Chandapura,3,1107.0,2.0,1.0,43.0
1528,Super built-up  Area,Chandapura,1,520.0,1.0,1.0,14.04
1529,Plot  Area,Chandapura,2,1200.0,1.0,1.0,36.0
1530,Super built-up  Area,Chandapura,2,975.0,2.0,1.0,24.86
1531,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1532,Super built-up  Area,Chandapura,2,985.0,2.0,1.0,25.12
1533,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1534,Super built-up  Area,Chandapura,2,975.0,2.0,1.0,24.86
1535,Super built-up  Area,Chandapura,2,700.0,1.0,1.0,19.0
1537,Super built-up  Area,Chandapura,3,1095.0,2.0,2.0,32.0
1538,Built-up  Area,Chandapura,4,1891.0,2.0,2.0,66.165
1539,Built-up  Area,Chandapura,3,1208.51,3.0,2.0,42.0
1540,Super built-up  Area,Chandapura,2,876.0,2.0,2.0,29.5
1541,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1544,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1545,Super built-up  Area,Chandapura,2,937.0,2.0,1.0,30.0
1546,Super built-up  Area,Chandapura,2,1025.0,2.0,2.0,27.68
1547,Super built-up  Area,Chandapura,2,975.0,2.0,1.0,24.86
1548,Super built-up  Area,Chandapura,2,800.0,2.0,1.0,25.0
1549,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1550,Super built-up  Area,Chandapura,2,778.0,2.0,0.0,25.29
1552,Super built-up  Area,Chandapura,2,950.0,2.0,1.0,25.65
1553,Plot  Area,Chandapura,2,1200.0,2.0,1.0,36.0
1554,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1555,Super built-up  Area,Chandapura,2,922.0,2.0,1.0,36.0
1557,Super built-up  Area,Chandapura,2,674.0,1.0,1.0,19.9
1562,Super built-up  Area,Chandapura,2,985.0,2.0,1.0,25.12
1564,Super built-up  Area,Chandapura,2,1025.0,2.0,2.0,27.68
1566,Super built-up  Area,Chandapura,2,1015.0,2.0,2.0,25.88
1567,Super built-up  Area,Chandapura,3,1345.0,2.0,2.0,39.5
1568,Super built-up  Area,Chandapura,3,1033.0,2.0,2.0,30.47
1569,Super built-up  Area,Chandapura,3,971.0,2.0,2.0,38.0
1570,Super built-up  Area,Chandapura,2,1015.0,2.0,2.0,25.88
1571,Built-up  Area,Chandapura,2,800.0,1.0,2.0,30.0
1573,Super built-up  Area,Chandapura,2,900.0,2.0,3.0,35.0
1574,Super built-up  Area,Chandapura,2,975.0,2.0,1.0,24.86
1575,Super built-up  Area,Chandapura,1,520.0,1.0,1.0,14.04
1578,Super built-up  Area,Chandapura,3,1323.0,2.0,1.0,42.0
1579,Super built-up  Area,Chandapura,1,410.0,1.0,1.0,10.0
1580,Super built-up  Area,Chandapura,2,985.0,2.0,1.0,25.12
1581,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1582,Super built-up  Area,Chandapura,1,645.0,1.0,1.0,16.45
1583,Plot  Area,Chandapura,2,1200.0,2.0,1.0,36.0
1584,Built-up  Area,Chandapura,2,740.0,1.0,1.0,22.0
1585,Super built-up  Area,Chandapura,2,876.0,2.0,2.0,28.47
1587,Super built-up  Area,Chandapura,1,520.0,1.0,1.0,14.04
1589,Super built-up  Area,Channasandra,2,1009.0,2.0,1.0,38.34
1590,Super built-up  Area,Channasandra,2,1065.0,2.0,1.0,35.0
1591,Super built-up  Area,Channasandra,3,1470.0,2.0,1.0,90.0
1592,Super built-up  Area,Channasandra,2,1115.0,2.0,1.0,33.45
1593,Super built-up  Area,Channasandra,2,1030.0,2.0,1.0,34.5
1594,Built-up  Area,Channasandra,6,4200.0,6.0,0.0,180.0
1595,Super built-up  Area,Channasandra,2,1115.0,2.0,1.0,40.0
1596,Plot  Area,Channasandra,3,1200.0,3.0,1.0,67.77
1597,Super built-up  Area,Channasandra,2,1104.0,2.0,1.0,35.5
1598,Super built-up  Area,Channasandra,2,1160.0,2.0,1.0,55.0
1599,Super built-up  Area,Channasandra,2,1050.0,2.0,2.0,41.0
1600,Super built-up  Area,Channasandra,2,1065.0,2.0,1.0,40.47
1602,Super built-up  Area,Channasandra,2,1070.0,2.0,1.0,38.0
1603,Super built-up  Area,Channasandra,2,1050.0,2.0,1.0,35.0
1604,Super built-up  Area,Channasandra,2,1093.0,2.0,1.0,34.0
1605,Built-up  Area,Channasandra,2,808.0,2.0,1.0,40.0
1606,Super built-up  Area,Channasandra,2,1010.0,2.0,1.0,36.0
1607,Super built-up  Area,Channasandra,2,1123.0,2.0,1.0,36.0
1608,Super built-up  Area,Channasandra,2,1000.0,2.0,2.0,35.0
1609,Plot  Area,Channasandra,4,1500.0,4.0,1.0,89.45
1610,Super built-up  Area,Channasandra,3,1330.0,2.0,2.0,51.83
1611,Super built-up  Area,Channasandra,2,1093.0,2.0,1.0,37.0
1612,Super built-up  Area,Channasandra,2,1115.0,2.0,1.0,35.8
1613,Plot  Area,Channasandra,3,1500.0,3.0,1.0,61.95
1615,Super built-up  Area,Channasandra,2,830.0,2.0,1.0,36.28
1616,Plot  Area,Channasandra,3,1200.0,3.0,1.0,67.77
1617,Super built-up  Area,Channasandra,3,1195.0,2.0,1.0,56.0
1618,Super built-up  Area,Channasandra,2,1175.0,2.0,2.0,38.0
1619,Plot  Area,Channasandra,2,1200.0,2.0,1.0,46.13
1620,Super built-up  Area,Channasandra,2,1065.0,2.0,1.0,36.0
1621,Super built-up  Area,Channasandra,2,1050.0,2.0,1.0,44.41
1622,Super built-up  Area,Channasandra,2,1010.0,2.0,1.0,32.0
1623,Plot  Area,Chikka Tirupathi,4,2600.0,5.0,3.0,120.0
1624,Plot  Area,Chikka Tirupathi,4,2325.0,4.0,1.0,120.0
1625,Plot  Area,Chikka Tirupathi,3,1808.0,4.0,2.0,80.27
1626,Plot  Area,Chikka Tirupathi,3,3297.0,3.0,1.0,135.0
1627,Plot  Area,Chikka Tirupathi,4,3500.0,5.0,3.0,150.0
1628,Plot  Area,Chikka Tirupathi,3,2646.0,3.0,2.0,99.0
1629,Built-up  Area,Chikka Tirupathi,4,2704.0,5.0,0.0,105.0
1630,Plot  Area,Chikka Tirupathi,3,2325.0,3.0,2.0,95.0
1631,Plot  Area,Chikka Tirupathi,4,2325.0,4.0,1.0,120.0
1632,Built-up  Area,Chikka Tirupathi,4,3250.0,4.0,2.0,136.0
1633,Plot  Area,Chikka Tirupathi,4,2665.0,5.0,3.0,125.0
1634,Built-up  Area,Chikkabanavar,2,950.0,2.0,1.0,40.0
1635,Plot  Area,Chikkabanavar,3,1600.0,2.0,0.0,80.0
1636,Super built-up  Area,Chikkabanavar,2,600.0,1.0,2.0,25.0
1637,Built-up  Area,Chikkabanavar,4,2460.0,7.0,2.0,80.0
1638,Built-up  Area,Chikkabanavar,5,2400.0,4.0,0.0,97.0
1639,Built-up  Area,Chikkabanavar,5,2000.0,4.0,0.0,65.0
1640,Super built-up  Area,Chikkabanavar,2,1067.0,2.0,1.0,38.0
1641,Super built-up  Area,Chikkabanavar,3,1320.0,2.0,2.0,46.0
1642,Built-up  Area,Chikkabanavar,8,4000.0,7.0,0.0,110.0
1644,Built-up  Area,Chikkalasandra,2,1100.0,2.0,2.0,50.0
1645,Super built-up  Area,Chikkalasandra,2,1208.0,2.0,1.0,49.0
1646,Carpet  Area,Chikkalasandra,2,875.0,2.0,3.0,52.8
1648,Built-up  Area,Chikkalasandra,2,1800.0,1.0,1.0,128.0
1649,Built-up  Area,Chikkalasandra,2,1070.0,2.0,2.0,50.0
1650,Super built-up  Area,Chikkalasandra,2,1230.0,2.0,2.0,48.0
1651,Built-up  Area,Chikkalasandra,3,1428.0,2.0,1.0,80.0
1652,Super built-up  Area,Chikkalasandra,2,1070.0,2.0,1.0,42.8
1656,Super built-up  Area,Chikkalasandra,2,1075.0,2.0,1.0,46.76
1659,Super built-up  Area,Chikkalasandra,2,1070.0,2.0,1.0,45.48
1660,Super built-up  Area,Chikkalasandra,2,1100.0,2.0,2.0,50.0
1663,Built-up  Area,Chikkalasandra,2,1224.0,2.0,2.0,45.0
1664,Super built-up  Area,Chikkalasandra,2,1090.0,2.0,1.0,47.42
1667,Built-up  Area,Chikkalasandra,2,1325.0,2.0,1.0,59.0
1668,Super built-up  Area,Chikkalasandra,2,1290.0,2.0,2.0,72.0
1671,Super built-up  Area,Choodasandra,2,1115.0,2.0,2.0,50.0
1672,Super built-up  Area,Choodasandra,2,1300.0,2.0,3.0,57.0
1673,Super built-up  Area,Choodasandra,3,1530.0,3.0,2.0,77.0
1676,Super built-up  Area,Choodasandra,2,1197.0,2.0,1.0,63.0
1677,Super built-up  Area,Choodasandra,3,1465.0,3.0,3.0,75.0
1678,Super built-up  Area,Choodasandra,2,1115.0,2.0,1.0,50.0
1679,Super built-up  Area,Choodasandra,2,1215.0,2.0,2.0,59.0
1680,Super built-up  Area,Choodasandra,3,1254.0,2.0,1.0,65.0
1681,Super built-up  Area,Choodasandra,3,1580.0,3.0,3.0,105.0
1682,Super built-up  Area,Choodasandra,2,725.0,2.0,2.0,36.0
1683,Built-up  Area,Choodasandra,4,2429.0,3.0,1.0,210.0
1685,Super built-up  Area,Choodasandra,2,1075.0,2.0,2.0,45.0
1686,Super built-up  Area,Choodasandra,2,1180.0,2.0,1.0,71.22
1687,Built-up  Area,Choodasandra,2,1140.0,2.0,2.0,62.0
1689,Super built-up  Area,Choodasandra,3,1560.0,3.0,2.0,78.0
1690,Built-up  Area,Choodasandra,2,1065.0,2.0,1.0,46.0
1691,Super built-up  Area,Choodasandra,2,1115.0,2.0,2.0,50.0
1693,Super built-up  Area,Choodasandra,2,1115.0,2.0,1.0,50.0
1694,Super built-up  Area,Cooke Town,4,3950.0,4.0,2.0,450.0
1695,Built-up  Area,Cooke Town,3,2388.0,4.0,3.0,239.0
1696,Super built-up  Area,Cooke Town,2,1710.0,2.0,2.0,200.0
1697,Super built-up  Area,Cooke Town,2,1310.0,2.0,2.0,111.0
1698,Super built-up  Area,Cooke Town,4,3900.0,5.0,2.0,415.0
1699,Super built-up  Area,Cooke Town,3,2560.0,4.0,2.0,310.0
1700,Plot  Area,Cooke Town,3,2600.0,3.0,1.0,375.0
1701,Super built-up  Area,Cooke Town,2,1100.0,2.0,3.0,90.0
1702,Super built-up  Area,Cooke Town,3,2300.0,3.0,1.0,250.0
1703,Super built-up  Area,Cox Town,3,1975.0,3.0,3.0,150.0
1704,Super built-up  Area,Cox Town,3,1650.0,3.0,3.0,100.0
1705,Super built-up  Area,Cox Town,3,1730.0,3.0,3.0,140.0
1706,Super built-up  Area,Cox Town,3,1600.0,3.0,1.0,150.0
1707,Super built-up  Area,Cox Town,2,1250.0,2.0,2.0,95.0
1708,Built-up  Area,Cox Town,2,1280.0,2.0,1.0,120.0
1709,Built-up  Area,Cox Town,2,1073.0,2.0,2.0,72.0
1710,Super built-up  Area,Cox Town,2,1000.0,2.0,3.0,58.0
1711,Super built-up  Area,Cox Town,2,1200.0,2.0,2.0,140.0
1712,Super built-up  Area,Cunningham Road,4,5270.0,4.0,3.0,1250.0
1713,Super built-up  Area,Cunningham Road,3,3875.0,3.0,2.0,864.0
1714,Super built-up  Area,Cunningham Road,3,3875.0,3.0,2.0,800.0
1715,Super built-up  Area,Cunningham Road,3,3815.0,3.0,1.0,763.0
1716,Super built-up  Area,Cunningham Road,3,2880.0,3.0,2.0,501.0
1717,Super built-up  Area,Cunningham Road,3,3489.0,3.0,1.0,662.0
1718,Super built-up  Area,Cunningham Road,3,4170.0,3.0,2.0,800.0
1720,Super built-up  Area,Cunningham Road,3,2700.0,3.0,1.0,501.0
1721,Plot  Area,Cunningham Road,4,7500.0,6.0,2.0,1800.0
1722,Super built-up  Area,Cunningham Road,3,2880.0,3.0,2.0,560.0
1723,Super built-up  Area,Dasanapura,2,708.0,2.0,2.0,37.0
1724,Super built-up  Area,Dasanapura,2,708.0,1.0,1.0,40.0
1725,Built-up  Area,Dasanapura,2,965.0,2.0,1.0,42.5
1727,Super built-up  Area,Dasanapura,2,814.0,2.0,1.0,42.0
1728,Built-up  Area,Dasanapura,2,1163.0,2.0,1.0,65.0
1729,Super built-up  Area,Dasanapura,3,1286.0,2.0,1.0,68.0
1730,Super built-up  Area,Dasanapura,2,708.0,2.0,1.0,31.15
1731,Super built-up  Area,Dasanapura,1,708.0,1.0,1.0,41.0
1732,Super built-up  Area,Dasanapura,2,814.0,2.0,1.0,43.7
1733,Super built-up  Area,Dasarahalli,2,1295.0,2.0,1.0,65.0
1735,Built-up  Area,Dasarahalli,2,1150.0,2.0,0.0,70.0
1736,Super built-up  Area,Dasarahalli,3,2100.0,3.0,3.0,120.0
1737,Super built-up  Area,Dasarahalli,2,1220.0,2.0,2.0,52.0
1738,Super built-up  Area,Dasarahalli,2,1375.0,2.0,1.0,60.0
1739,Super built-up  Area,Dasarahalli,2,1333.0,2.0,1.0,78.56
1740,Super built-up  Area,Dasarahalli,2,1220.0,2.0,2.0,62.0
1741,Built-up  Area,Devanahalli,4,3210.0,2.0,2.0,192.0
1742,Super built-up  Area,Devanahalli,2,1260.0,2.0,2.0,66.78
1743,Super built-up  Area,Devanahalli,3,1282.0,2.0,2.0,68.52
1744,Super built-up  Area,Devanahalli,2,1360.0,2.0,1.0,65.0
1746,Super built-up  Area,Devanahalli,2,1408.0,2.0,2.0,85.0
1747,Super built-up  Area,Devanahalli,2,1010.0,2.0,1.0,51.0
1748,Super built-up  Area,Devanahalli,2,1080.0,2.0,0.0,53.35
1749,Plot  Area,Devanahalli,5,2400.0,5.0,3.0,100.0
1752,Super built-up  Area,Devanahalli,2,1174.0,2.0,1.0,59.0
1754,Super built-up  Area,Devanahalli,1,658.0,1.0,1.0,34.0
1755,Super built-up  Area,Devanahalli,1,658.0,1.0,0.0,26.91
1756,Super built-up  Area,Devanahalli,1,698.5,1.0,0.0,28.57
1757,Super built-up  Area,Devanahalli,2,1080.0,2.0,1.0,52.0
1758,Super built-up  Area,Devanahalli,3,1700.0,3.0,0.0,88.2
1759,Super built-up  Area,Devanahalli,3,1498.0,3.0,3.0,79.15
1760,Super built-up  Area,Devanahalli,3,1466.0,3.0,3.0,77.59
1761,Super built-up  Area,Devanahalli,1,775.0,1.0,0.0,39.0
1762,Super built-up  Area,Devanahalli,1,1020.0,2.0,1.0,49.87
1764,Super built-up  Area,Devanahalli,3,1550.0,3.0,1.0,85.0
1766,Super built-up  Area,Devanahalli,2,1340.0,2.0,1.0,65.0
1767,Built-up  Area,Devanahalli,3,2125.0,3.0,1.0,107.0
1770,Super built-up  Area,Devanahalli,1,658.0,1.0,1.0,26.91
1772,Built-up  Area,Devanahalli,2,1010.0,2.0,1.0,58.0
1775,Super built-up  Area,Devanahalli,1,1075.0,2.0,2.0,52.57
1777,Super built-up  Area,Devarachikkanahalli,2,1250.0,2.0,2.0,40.0
1778,Plot  Area,Devarachikkanahalli,2,1200.0,2.0,2.0,83.0
1779,Super built-up  Area,Devarachikkanahalli,2,1170.0,2.0,2.0,40.0
1780,Built-up  Area,Devarachikkanahalli,1,615.0,1.0,1.0,24.0
1781,Super built-up  Area,Devarachikkanahalli,2,1230.0,2.0,1.0,58.0
1782,Super built-up  Area,Devarachikkanahalli,3,1425.0,2.0,2.0,65.0
1783,Super built-up  Area,Devarachikkanahalli,2,947.0,2.0,2.0,43.0
1784,Super built-up  Area,Devarachikkanahalli,2,1130.0,2.0,2.0,36.0
1785,Super built-up  Area,Devarachikkanahalli,3,1417.0,2.0,2.0,76.0
1786,Super built-up  Area,Devarachikkanahalli,2,1230.0,2.0,1.0,58.0
1787,Super built-up  Area,Devarachikkanahalli,3,1705.0,3.0,2.0,75.0
1788,Built-up  Area,Devarachikkanahalli,2,1116.0,2.0,1.0,47.0
1789,Super built-up  Area,Devarachikkanahalli,2,991.0,2.0,2.0,40.0
1791,Built-up  Area,Dodda Nekkundi,2,1260.0,2.0,2.0,55.0
1792,Super built-up  Area,Dodda Nekkundi,2,850.0,2.0,3.0,28.0
1793,Super built-up  Area,Dodda Nekkundi,2,1390.0,2.0,2.0,60.0
1794,Super built-up  Area,Dodda Nekkundi,3,1804.0,3.0,2.0,121.0
1795,Super built-up  Area,Dodda Nekkundi,2,1080.0,2.0,2.0,50.0
1796,Super built-up  Area,Dodda Nekkundi,3,1999.0,3.0,2.0,132.0
1797,Super built-up  Area,Dodda Nekkundi,2,1100.0,2.0,2.0,48.0
1798,Super built-up  Area,Dodda Nekkundi,3,1999.0,3.0,2.0,135.0
1799,Super built-up  Area,Dodda Nekkundi,2,1100.0,2.0,1.0,41.15
1800,Super built-up  Area,Dodda Nekkundi,3,1252.0,2.0,1.0,71.0
1801,Super built-up  Area,Dodda Nekkundi,2,1155.0,2.0,1.0,46.0
1802,Super built-up  Area,Dodda Nekkundi,2,1128.0,2.0,2.0,45.0
1803,Super built-up  Area,Dodda Nekkundi,2,1148.0,2.0,1.0,56.0
1805,Built-up  Area,Dodda Nekkundi,2,1145.0,2.0,1.0,46.5
1806,Super built-up  Area,Dodda Nekkundi,3,1829.0,3.0,2.0,125.0
1807,Super built-up  Area,Dodda Nekkundi,2,1100.0,2.0,1.0,41.16
1808,Super built-up  Area,Dodda Nekkundi,2,1100.0,2.0,1.0,46.75
1809,Super built-up  Area,Dodda Nekkundi,2,1315.0,2.0,2.0,50.0
1810,Super built-up  Area,Dodda Nekkundi,2,1135.0,2.0,2.0,58.0
1811,Super built-up  Area,Dodda Nekkundi,2,1100.0,2.0,1.0,41.18
1812,Built-up  Area,Dodda Nekkundi,2,1370.0,2.0,2.0,60.0
1813,Super built-up  Area,Dodda Nekkundi,2,1200.0,2.0,2.0,71.0
1814,Super built-up  Area,Dodda Nekkundi,3,1585.0,2.0,2.0,79.0
1815,Built-up  Area,Dodda Nekkundi,2,1005.0,2.0,2.0,45.0
1816,Super built-up  Area,Dodda Nekkundi,2,1264.0,2.0,2.0,52.0
1817,Super built-up  Area,Doddaballapur,4,1690.0,3.0,2.0,80.0
